Date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
23/04/2015,3.6205,5.4407,3.877,3.0192,3.7336,2.8046,2.9564,2.6896,46.7155,11.1709,8.1801,11.649,0.3343,0.028,96.5415,5.0099,0.5842,2.6896,0.0168,0.0897,2.7471,0.3393,5.7537,98.568,3.5619,3.5961,0.4745
24/04/2015,3.5995,5.4127,3.8846,3.0107,3.7624,2.7981,2.963,2.6852,46.4443,11.0771,8.1358,11.6414,0.3332,0.0278,96.0443,4.9736,0.5808,2.6852,0.0167,0.0889,2.7192,0.3364,5.6797,98.0069,3.5378,3.5498,0.4719
27/04/2015,3.5645,5.4081,3.8689,2.9969,3.7338,2.7849,2.9301,2.6752,45.9921,10.924,8.0554,11.6615,0.3318,0.0275,95.0521,4.9421,0.5751,2.675,0.0165,0.0882,2.7137,0.3331,5.601,97.0447,3.4996,3.5012,0.4672
28/04/2015,3.5575,5.4179,3.8693,2.9871,3.7265,2.7974,2.9395,2.6763,45.9026,10.9025,8.0382,11.6449,0.3323,0.0274,94.8603,4.9385,0.5731,2.6762,0.0165,0.0881,2.7126,0.3318,5.6085,96.8528,3.4913,3.5054,0.4662
29/04/2015,3.559,5.4584,3.9035,2.9938,3.7212,2.8442,2.9562,2.6949,45.9199,10.9038,8.0407,11.6727,0.3332,0.0274,94.9029,4.9623,0.5736,2.6948,0.0165,0.088,2.7404,0.3314,5.6309,96.895,3.4945,3.5192,0.4664
30/04/2015,3.5705,5.5071,3.9659,3.0016,3.7972,2.8555,2.9684,2.7001,46.0668,10.8625,8.0065,11.6683,0.3334,0.0276,95.2121,4.9881,0.5755,2.6992,0.0165,0.0884,2.7195,0.3294,5.6175,97.208,3.5055,3.511,0.4681
05/05/2015,3.606,5.451,4.0151,3.0019,3.8554,2.832,2.9764,2.6992,46.5149,10.9422,8.0789,11.7459,0.3329,0.0277,96.1536,5.0479,0.5808,2.6993,0.0167,0.0894,2.722,0.3317,5.6734,98.1745,3.5388,3.5461,0.4726
06/05/2015,3.568,5.4251,4.0069,2.9754,3.8565,2.8442,2.9654,2.6882,46.0289,10.7244,8.0148,11.6525,0.3306,0.0274,95.1365,4.9919,0.5754,2.6878,0.0165,0.0886,2.6714,0.3285,5.6322,97.14,3.5034,3.5203,0.4676
07/05/2015,3.5945,5.4777,4.0776,3.0086,3.922,2.8697,2.9857,2.7058,46.3684,10.7797,8.0504,11.7123,0.3302,0.0274,95.8521,5.0504,0.5794,2.7053,0.0166,0.0893,2.6977,0.3316,5.6307,97.8615,3.5346,3.5192,0.4713
08/05/2015,3.6075,5.5788,4.042,3.0084,3.904,2.8443,2.9787,2.7064,46.5274,10.7526,8.0732,11.7413,0.3305,0.0274,96.1949,5.0881,0.581,2.7065,0.0166,0.0897,2.6854,0.3331,5.6249,98.2154,3.5418,3.5156,0.4728
11/05/2015,3.6015,5.5521,4.0135,3.005,3.8543,2.8398,2.9702,2.6994,46.4497,10.7315,8.0724,11.7255,0.3302,0.0274,96.0349,5.0649,0.58,2.6994,0.0166,0.0895,2.6586,0.3325,5.6419,98.052,3.5359,3.5261,0.472
12/05/2015,3.625,5.6445,4.0435,3.0162,3.8803,2.8683,2.998,2.7067,46.7606,10.7217,8.0861,11.7965,0.3305,0.0275,96.6577,5.0916,0.5838,2.7064,0.0167,0.0901,2.6642,0.335,5.6438,98.6918,3.5592,3.528,0.4751
13/05/2015,3.6045,5.6504,4.0513,3.0056,3.886,2.8753,2.9998,2.6998,46.4896,10.6958,8.0494,11.7526,0.3287,0.0273,96.1123,5.0855,0.5808,2.7,0.0166,0.0893,2.661,0.3337,5.6239,98.1337,3.5409,3.5149,0.4724
14/05/2015,3.5725,5.6287,4.0625,2.9986,3.9035,2.9025,2.993,2.7044,46.0846,10.6929,8.0164,11.6902,0.3272,0.0272,95.2603,5.0369,0.576,2.7044,0.0164,0.0885,2.6922,0.3308,5.5868,97.2625,3.5093,3.4918,0.4684
15/05/2015,3.5665,5.6251,4.0685,2.9879,3.9074,2.8769,2.9742,2.7003,46.0128,10.6233,8.0155,11.7019,0.3283,0.0272,95.1016,5.0662,0.5748,2.7001,0.0164,0.0883,2.6663,0.3275,5.617,97.0991,3.5017,3.5107,0.4676
18/05/2015,3.572,5.6148,4.0832,2.9857,3.8926,2.8642,2.9669,2.7016,46.0817,10.6691,8.0378,11.7423,0.3294,0.0272,95.2508,5.0579,0.5758,2.7012,0.0164,0.0874,2.6542,0.3283,5.623,97.2608,3.5063,3.5144,0.4681
19/05/2015,3.585,5.6129,4.0536,2.9889,3.8688,2.8667,2.9537,2.6998,46.2497,10.7392,8.0526,11.7771,0.3287,0.0272,95.5949,5.084,0.5778,2.6979,0.0164,0.0878,2.6628,0.3301,5.6264,97.6028,3.5192,3.5164,0.4699
20/05/2015,3.609,5.5988,4.0204,2.986,3.8533,2.8598,2.9526,2.7014,46.5548,10.7715,8.0919,11.8369,0.3297,0.0274,96.2374,5.0795,0.5817,2.716,0.0165,0.0884,2.6582,0.3326,5.6656,98.2562,3.5417,3.5411,0.4732
21/05/2015,3.606,5.6084,4.0097,2.9756,3.86,2.846,2.9577,2.6995,46.5131,10.777,8.0979,11.8346,0.3294,0.0274,96.1523,5.0539,0.5814,2.7137,0.0165,0.0885,2.6416,0.3314,5.6627,98.1745,3.5379,3.5392,0.4726
22/05/2015,3.5875,5.6243,3.999,2.9697,3.8371,2.8427,2.9462,2.694,46.2796,10.7475,8.0559,11.8128,0.3292,0.0273,95.6616,5.0455,0.579,2.6998,0.0165,0.0882,2.6515,0.3303,5.6394,97.6709,3.5189,3.5245,0.4702
25/05/2015,3.6055,5.5795,3.9615,2.9638,3.8238,2.8209,2.9333,2.6931,46.5106,10.7499,8.0805,11.8221,0.3289,0.0273,96.1428,5.0727,0.5815,2.6931,0.0165,0.0886,2.6331,0.3317,5.6672,98.1609,3.5348,3.5421,0.4727
26/05/2015,3.618,5.5898,3.9592,2.9711,3.8215,2.8343,2.9394,2.6906,46.6709,10.7551,8.1012,11.8446,0.3296,0.0274,96.4723,5.0903,0.5831,2.6974,0.0166,0.089,2.6457,0.3328,5.6811,98.5012,3.5493,3.5507,0.4742
27/05/2015,3.6385,5.6002,3.9592,2.9563,3.8228,2.8197,2.9273,2.6951,46.9339,10.768,8.1321,11.8597,0.3283,0.0275,97.0189,5.0617,0.5863,2.6948,0.0167,0.0896,2.6361,0.332,5.6732,99.0594,3.5689,3.5458,0.4769
